dObar	Agpmsnn	dobar
bIl	Vmp-sm	biti
porOtnik	Ncmsn	porotnik
gOre	Rgp	gore
u	Sl	u
/	Z	/
••	X	••
u	Sa	u
sUd	Ncmsan	sud
.	Z	.

poznAva	Npmsg	poznAv
sudIju	Ncmsay	sudija
poznAva	Mdc	poznava
prEsednika	Ncmpg	presednik
Opštine	Ncfsg	opština
.	Z	.

mOra	Vmr3s	morati
da	Cs	da
se	Pxsa	sebe
pIta	Vmr3s	pitati
••	X	••
i	Cc	i
((?))	X	((?))
••	X	••
prEsednik	Ncmsn	predsednik
Opštine	Ncfsg	opština
dal	Cc	dal
je	Var3s	biti
dozvOljeno	Appnsny	dozvoliti
malolEtna	Agpfsny	maloletan
sam	Var1s	biti
••	X	••
də	Vmr3s	dati
Idem	Vmr1s	ići
u	Sa	u
brAk	Ncmsan	brak
.	Z	.

mOra	Vmr3s	morati
da	Cs	da
Ijem	Vcr1s	ibiti
kod	Sg	kod
•	X	•
dOktura	Qr	dOktura
da	Cs	da
sam	Var1s	biti
•	X	•
dorAsla	Vmp-sf	dorasti
.	Z	.

mOre	Ncnsn	more
džAbe	Pi3n-n	džAbe
bi	Vaa3s	biti
ḱirIja	Vcr3p	ḱiribiti
na	Sa	na
svI	Pi-mpn	sav
.	Z	.

i	Cc	i
((?))	X	((?))
••	X	••
svE	Pi-nsn	sav
tOj	Pd-nsn	taj
odrEǵemo	Vmp-sn	odreǵeti
i	Cc	i
naprAimo	Vmr1p	napraviti
•	X	•
tI	Pp2-sd	ti
bI	Vaa3s	biti
tOj	Pd-nsn	taj
nE	Qz	ne
znate	Vmr2p	znati
seljAčka	Agpfsny	seljački
rAbota	Ncfsn	rabota
kakvA	Pisg	kakav
je	Vcr3s	biti
.	Z	.

pRvo	Rgp	prvo
••	X	••
tOj	Pd-nsn	taj
se	Px--sa	sebe
zOve	Vmr3s	zvati
Ogle/	Pi3n-n	Ogle/
Ogledi	Ncmpn	ogled
.	Z	.

pa	Cc	pa
kao	Cs	kao
ve/	Ncfpn	vea
verIdba	Ncfsn	veridba
poveḱI	Agpmsny	poveḱ
ručAk	Ncmsn	ručak
.	Z	.

i	Cc	i
((?))	X	((?))
•	X	•
odredIlji	Vmp-pm	odredići
smo	Var1p	biti
toj	Pd-nsn	taj
posljE	Ncnsn	poslje
•	X	•
tO	Pd-nsn	taj
e	Var3s	biti
bIlo	Qo	bilo
na	Sa	na
petrOvdAn	Mlcmsn	petrovdan
•	X	•
i	Cc	i
((?))	X	((?))
••	X	••
dvAnajstog	Agpmsgy	dvanajst
jUla	Ncmsg	jul
.	Z	.

i	Cc	i
spremImo	Vmr1p	spremiti
se	Pxsa	sebe
za	Sa	za
svAdbu	Ncfsa	svadba
pOsle	Rgp	posle
•	X	•
šesnAjestog	Ncnsn	šesnajestog
Avgusta	Npfsn	Avgusta
•	X	•
svAdba	Ncfsn	svadba
.	Z	.

i	Cc	i
dovEdoše	Vma3p	dovesti
me	Pp1-sa	ja
.	Z	.

i	Cc	i
skratIše	Vma3p	skratiti
mi	Pp1-sd	ja
•	X	•
mOe	Ncfpn	moa
rAdosti	Ncfpn	radost
mOe	Agpnsny	moi
vesElje	Ncnsn	veselje
mOe	Agpfsgy	moi
dobrOte	Ncfsg	dobrota
.	Z	.

jA	Pp1-sn	ja
sam	Vcr1s	biti
mlAda	Agpfsn	mlad
pa	Cc	pa
•	X	•
vOlim	Vmr1s	voleti
da	Cs	da
se	Px--sa	sebe
smEjem	Vmr1s	smejati
.	Z	.

vOlim	Vmr1s	voleti
da	Cs	da
se	Px--sa	sebe
šAlim	Vmr1s	šaliti
.	Z	.

vOlim	Vmr1s	voleti
da	Cs	da
se	Px--sa	sebe
drUžim	Vmr1s	družiti
.	Z	.

kad	Cs	kad
dojdo	Vmr3s	dojći
ovde	Rgp	ovde
onI	Pp3mpn	oni
svI	Pipn	sav
pOstari	Agpmpny	postar
od	Sg	od
mEne	Ncfsg	mena
.	Z	.

kao	Cs	kao
da	Cs	da
me	Pp1-sa	ja
zarobIše	Vma3p	zarobiti
.	Z	.

Opasni	Agpmpny	opasan
ljUdi	Ncmpn	čovek
.	Z	.

sAmo	Rgp	samo
da	Cs	da
sAgnaš	Vmr3s	sagnašti
glAvu	Ncfsa	glava
i	Cc	i
da	Cs	da
ḱutIš	Qr	ḱutIš
.	Z	.

nEma	Vmr3s	imati
•	X	•
ako	Cs	ako
kAžeš	Vmr2s	kazati
na	Sa	na
čovEka	Ncmsay	čovek
sAmo	Rgp	samo
dObar	Agpmsnn	dobar
dAn	Ncmsn	dan
nIšta	Pi3n-n	ništa
više	Rgc	mnogo
.	Z	.

nEma	Vmr3s	imati
•	X	•
drUgi	Mlomsan	drugi
gOvor	Rgp	govor
nEma	Vmr3s	imati
šAla	Ncmsg	šal
nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

i	Cc	i
((?))	X	((?))
•••	X	•••
nEču/	I	nEču/
vIše	Rgc	mnogo
nEču	Vmr3s	hteti
o	Sl	o
tOme	Pdsl	taj
da	Cs	da
vi	Pp2-pn	vi
prIčam	Vmr1s	pričati
.	Z	.

udAla	Vmp-sf	udati
sam	Var1s	biti
se	Px--sa	sebe
i	Cc	i
((?))	X	((?))
•	X	•
vI	Pp2-pn	vi
nEste	Pi3n-a	nEste
Udate	Vmr2p	udati
•	X	•
nIste	Npmsn	nIste
.	Z	.

vI	Pp2-pn	vi
nE	Qz	ne
znate	Vmr2p	znati
kakOj	Cs	kako
u	Sa	u
brAk	Ncmsan	brak
•	X	•
i	Cc	i
štO	Pi3n-a	što
da	Cs	da
vI	Pi-msn	vi
jA	Pp1-sn	ja
tOj	Pd-nsn	taj
prIčam	Vmr1s	pričati
.	Z	.

a	Cc	a
səs	Si	sa
tAj	Pd-msn	taj
što	Cs	što
je	Var3s	biti
bIla	Vapf	biti
kod	Sg	kod
mEne	Pp1-sa	ja
onA	Pp3fsn	on
Udata	Appfsny	udati
.	Z	.

n/	X	n/
na	Sa	na
njU	Pp3fsa	on
sam	Var1s	biti
pO	Sl	po
p/	X	p/
((laugh))	X	((laugh))
popričAla	Vmp-sf	popričati
((laugh))	X	((laugh))
.	Z	.

i	Cc	i
((?))	X	((?))
••	X	••
Eto	I	eto
takOj	Rgp	tako
•	X	•
kad	Cs	kad
je	Var3s	biti
čovEk	Ncmsn	čovek
šEst	Mlc	šest
gOdine	Ncfpn	godina
stAriji	Agcmsny	star
od	Sg	od
tEbe	Pp2-sa	ti
•	X	•
pa	Cc	pa
da	Cs	da
vIdiš	Vmr2s	videti
kakvE	Pipn	kakav
su	Var3p	biti
tE	Pdpn	taj
mUke	Ncfpn	muka
.	Z	.

dokle	Rgp	dokle
se	Px--sa	sebe
srOdiš	Vmr2s	sroditi
dokle	Rgp	dokle
se	Px--sa	sebe
urOdiš	Vmr2s	uroditi
.	Z	.

poglEdaj	Vmm2s	pogledati
kakvOga	Cs	kakvOga
sam	Var1s	biti
jA	Pp1-sn	ja
sinčIḱa	Vmp-sf	sinčiti
rodIla	Vmp-sf	roditi
•	X	•
Ovu	Npfsn	Ovu
srEdnju	Agpfsay	srednji
slIku	Ncfsa	slika
.	Z	.

el	Qq	jel
vIdiš	Vmr2s	videti
.	Z	.

ej	I	ej
•••	X	•••
Eto	I	eto
takO	Rgp	tako
e	Vcr3s	biti
.	Z	.

prezimUvala	Vmp-sf	prezimuvati
sam	Var1s	biti
onO	Pd-nsn	onaj
tUj	Pd-fsa	taj
zImu	Ncfsa	zima
kolkI	Ncfsd	Kolka
je	Var3s	biti
snEg	Ncmsn	sneg
bIl	Vmp-sm	biti
.	Z	.

to	Pd-nsn	taj
je	Var3s	biti
bIlo	Vcp-sn	biti
pedEset	Mlc	pedeset
četvRte	Mlofsg	četvrti
((?))	X	((?))
gOdine	Ncfpn	godina
.	Z	.

snEg	Ncmsn	sneg
do	Sg	do
#čAlmi#	Qr	#čAlmi#
.	Z	.

ne	Qz	ne
izlAzi	Vmr3s	izlaziti
se	Px--sa	sebe
.	Z	.

do	Sg	do
blAgovesti	Ncfsg	blagovest
nesmO	Var1p	biti
izlazIli	Vmp-pm	izlaziti
.	Z	.

nApolje	Rgp	napolje
snEg	Ncmsn	sneg
.	Z	.

sAmo	Rgp	samo
ku	Rgp	kuda
mOra	Vmr3s	morati
də	Vmr3s	dati
Ide	Vmr3s	ići
da	Cs	da
nə/	Npmsn	nə/
namIri	Vmr3s	namiriti
stOKu	Ncfsa	stoka
i	Cc	i
•	X	•
u	Sl	u
sObu	Ncmsl	sob
.	Z	.

e	I	e
kad	Cs	kad
se	Pxsa	sebe
stopIl	Pdsn	stopIl
snEg	Ncmsn	sneg
pOsle	Rgp	posle
••	X	••
ne	Qz	ne
Idem	Vmr1s	ići
na	Sa	na
fIzički	Agpmsayn	fizički
pOsao	Ncmsan	posao
ali	Cc	ali
tEram	Vmr1s	terati
Ovce	Ncfpn	ovca
u	Sl	u
pAšu	Npmsl	pAš
.	Z	.

i	Cc	i
sas	Si	sa
Ovce	Ncfpn	ovca
sas	Si	sa
Ovce	Ncfpn	ovca
••	X	••
do	Sg	do
dvajEs	Npmsg	dvaji
sEdmog	Mlomsg	sedmi
mAja	Npmsg	maj
.	Z	.

i	Cc	i
tAg	Rgp	tako
si	Px--sd	sebe
rOdim	Vmr1s	roditi
detEnce	Ncnsn	detence
.	Z	.

Imam	Vmr1s	imati
si	Px--sd	sebe
detEnce	Ncnsn	detence
mEnja	Vmr3s	menjati
mi	Pp1-sd	ja
se	Px--sa	sebe
žIvot	Ncmsn	život
.	Z	.

dAj	Vmm2s	dati
bOže	Npmsv	bog
i	Cc	i
vI	Pp2-pn	vi
da	Cs	da
se	Pxsa	sebe
udadEte	Vmr3s	udadivati
i	Cc	i
da	Cs	da
vIdite	Vmr2p	videti
kakvO	Pi-nsn	kakav
je	Vcr3s	biti
tO	Pd-nsn	taj
.	Z	.

i	Cc	i
da	Cs	da
vi	Pi-msn	vi
bUde	Vmr3s	biti
svE	Pi-nsn	sav
lEpo	Rgp	lepo
.	Z	.

Opasni	Agpmpny	opasan
ljUdi	Ncmpn	čovek
al	Cc	ali
jA	Pp1-sn	ja
sve	Pi-nsn	sav
tOj	Pd-nsn	taj
prebrOdim	Vmr1s	prebroditi
kad	Cs	kad
sam	Var1s	biti
sas	Si	sa
nji	Pp3-pi	oni
jA	Pp1-sn	ja
ćutIm	Vmr1s	ćutati
al	Cc	ali
kad	Cs	kad
•	X	•
.	Z	.

kad	Cs	kad
si	Px--sd	sebe
jA	Pp1-sn	ja
otIdem	Sa	otIdem
sas	Si	sa
Ovce	Ncfpn	ovca
gdE	Rgp	gde
j/	X	j/
•	X	•
mOre	Vmr3s	moći
jA	Pp1-sn	ja
kad	Cs	kad
pevnEm	Px--sa	pevnEm
onO	Pd-nsn	onaj
zvečI	Vmr3s	zvečati
.	Z	.

zvečI	Vmr3s	zvečati
padIna	Ncfsn	padina
.	Z	.

i	Cc	i
((?))	X	((?))
.	Z	.

kad	Cs	kad
•	X	•
onI	Pp3mpn	oni
su	Vcr3p	biti
bIl	Vmp-sm	biti
ovdEkaj	Rgp	ovde
.	Z	.

četvOrica	Ncfsn	četvorica
svEkar	Ncmsn	svekar
i	Cc	i
svekRva	Ncfsn	svekrva
i	Cc	i
mAlo	Rgp	malo
Edna	Mlcfsn	jedan
stAra	Agpfsny	star
bAba	Ncfsn	baba
.	Z	.

i	Cc	i
••	X	••
mladožEnja	Ncmsn	mladoženja
bIl	Vmp-sm	biti
tAg	Rgp	tako
.	Z	.

za	Sa	za
pRvu	Mlofsa	prvi
gOdinu	Ncfsa	godina
se	Pxsa	sebe
zovE	Vmr3s	zvati
mladožEnja	Ncmsn	mladoženja
a	Cc	a
pOsle	Sg	posle
ga	Pp3msa	on
zovEš	Vmr2s	zvati
kAko	Cs	kako
oš	Cs	još
.	Z	.

i	Cc	i
((?))	X	((?))
••	X	••
zapatIli	Vmp-pm	zapatiti
smo	Var1p	biti
se	Px--sa	sebe
.	Z	.

rOdim	Vmr1s	roditi
njEga	Pp3msa	on
•	X	•
pa	Cc	pa
prodže	Ncfpn	prodža
čEtri	Mlc	četiri
i	Cc	i
pO	Sa	po
gOdine	Ncfpa	godina
pa	Cc	pa
rOdim	Vmr1s	roditi
i	Cc	i
ḱerku	Ncfsn	kćerka
.	Z	.

i	Cc	i
••	X	••
tO	Pd-nsn	taj
vrEme	Ncnsn	vreme
se	Px--sa	sebe
radEL	Vmp-sm	raditi
rUčni	Agpmsny	ručni
rAd	Ncmsn	rad
.	Z	.

čovEk	Ncmsn	čovek
se	Px--sa	sebe
žEni	Vmr3s	ženiti
••	X	••
da	Cs	da
mu	Pp3msd	on
ženA	Ncfsn	žena
pletE	Vmr3s	plesti
čerApe	Npmsn	čerApe
•	X	•
i	Cc	i
da	Cs	da
mu	Pp3msd	on
mEsi	Vmr3s	mesiti
lEba	Ncmsg	hleb
.	Z	.

a	Cc	a
••	X	••
səgAšnje	Ncnsn	səgašnje
••	X	••
i	Cc	i
za	Sa	za
njU	Pp3fsa	on
da	Cs	da
kUpi	Vmr3s	kupiti
čerApe	Npmsd	čeri
.	Z	.

i	Cc	i
da	Cs	da
u	Sl	u
kUpi	Ncfsl	kupa
lEba	Ncmsg	hleb
i	Cc	i
((?))	X	((?))
•	X	•
i	Cc	i
svE	Pi-nsn	sav
.	Z	.

pa	Cc	pa
•	X	•
osamnAjes	Ncnsn	osamnajes
gOdine	Ncfpn	godina
mojI	Ps1mpn	moj
si	Px--sd	sebe
bIli	Vmp-pm	biti
onAM	Rgp	onamo
sAmi	Agpmpny	sam
.	Z	.

i	Cc	i
kad	Cs	kad
osmanAjes	Agpfpny	osmanajei
gOdine	Ncfpn	godina
prOšle	Agpfsgy	prošli
ostarUju	Ncfsg	ostaruja
.	Z	.

ne	Qz	ne
mOže	Vmr3s	moći
vIše	Rgc	mnogo
sAmi	Agpmpny	sam
.	Z	.

Oni	Pp3mpn	oni
dOšli	Vmp-pm	doći
i	Cc	i
onI	Pp3mpn	oni
.	Z	.

kad	Cs	kad
smo	Var1p	biti
naprIli	Vmp-pm	napriti
kUḱu	Ncfsa	kuća
tƏg	Rgp	tako
dOšli	Vmp-pm	doći
i	Cc	i
onI	Pp3mpn	oni
.	Z	.

dok	Cs	dok
se	Pxsa	sebe
prIla	Agpfsny	prili
kuḱa	Ncfsn	kuća
i	Cc	i
Oni	Pp3mpn	oni
pomagAli	Vmp-pm	pomagati
•	X	•
štA	Pi3n-a	što
su	Var3p	biti
imAli	Vmpm	imati
dAli	Vmpm	dati
kad	Cs	kad
trEbalo	Vmp-sn	trebati
radEli	Vmp-pm	radeti
.	Z	.

i	Cc	i
((?))	X	((?))
dOšli	Vmp-pm	doći
i	Cc	i
onI	Pp3mpn	oni
kod	Sg	kod
mEne	Pp1-sg	ja
.	Z	.

porAsal	Agpmsny	porasal
sIn	Ncmsn	sin
porAsla	Vmp-sf	porasti
ḱerka	Ncfsn	ćerka
.	Z	.

školuvAli	Vmp-pm	školuvati
se	Px--sa	sebe
.	Z	.

Išli	Vmp-pm	ići
u	Sa	u
škOlu	Ncfsa	škola
.	Z	.

sIn	Ncmsn	sin
mi	Pp1-sd	ja
bIl	Vmp-sm	biti
•	X	•
u	Sa	u
bOr	Ncmsan	bor
na	Sa	na
slUžbu	Ncfsa	služba
.	Z	.

On	Pp3msn	on
bIl	Vmp-sm	biti
čEtri	Mlc	četiri
gOdine	Ncfpn	godina
•	X	•
u	Sa	u
••	X	••
sindikAt	Ncmsn	sindikat
•	X	•
bIl	Vcp-sm	biti
potpresEdnik	Ncmsn	potpresednik
.	Z	.

i	Cc	i
••	X	••
cEnjen	Appmsnn	ceniti
u	Sl	u
drUštvu	Ncnsl	društvo
.	Z	.

pa	Cc	pa
kad	Cs	kad
se	Px--sa	sebe
tOj	Pd-nsn	taj
rasturIlo	Vmp-sn	rasturiti
On	Pp3msn	on
pOsle	Rgp	posle
••	X	••
našAl	Vmp-sm	naći
slUžbu	Ncfsa	služba
•	X	•
u	Sa	u
bOlnicu	Ncfsa	bolnica
bIl	Vmp-sm	biti
grejAč	Ncmsn	grejač
.	Z	.

grEje	Vmr3s	grejati
bOlnicu	Ncfsa	bolnica
•	X	•
bOrsku	Agpfsay	borski
••	X	••
vI	Pp2-pn	vi
ste	Var2p	biti
beogrAǵanke	Vmp-pm	beograǵanti
nE	Qz	ne
znate	Vmr2p	znati
ni	Qo	ni
gdE	Cs	gde
je	Vcr3s	biti
bOr	Ncmsn	bor
.	Z	.

pa	Cc	pa
•••	X	•••
a	Cc	a
sAd	Rgp	sad
On	Pp3msn	on
me	Pp1-sa	ja
čUva	Vmr3s	čuvati
ovdE	Rgp	ovde
On	Pp3msn	on
u	Sa	u
pEnziju	Ncfsa	penzija
sAd	Rgp	sad
•	X	•
i	Cc	i
•	X	•
čUva	Vmr3s	čuvati
me	Pp1-sa	ja
.	Z	.

nEču	Var1s	hteti
se	Px--sa	sebe
žAlim	Vmr1s	žaliti
•	X	•
sIn	Ncmsn	sin
mi	Pp1-sd	ja
dObar	Agpmsnn	dobar
.	Z	.

i	Cc	i
.	Z	.

nEsu	Ncmsl	nes
svIno/	Npmsn	svIno/
•	X	•
svI	Agpmpny	sav
sInovi	Ncmpn	sin
dobrI	Agpmpny	dobar
kAo	Cs	kao
mOj	Ps1msn	moj
sIn	Ncmsn	sin
.	Z	.

imAli	Vmp-pm	imati
smo	Var1p	biti
vinOgrad	Ncmsn	vinograd
ovAm	Rgp	ovamo
•	X	•
onO	Pd-nsn	onaj
((?))	X	((?))
izmeǵu	Pd-msn	izmeǵu
timOk	Npmsn	timok
i	Cc	i
rEku	Ncfsa	reka
.	Z	.

uvatIla	Vmpf	uvatiti
maglA	Ncfsn	magla
uvatIlO	Vmpn	uvatiti
•••	X	•••
slanA	Appfsny	slati
pa	Cc	pa
mi	Pp1-sd	ja
izmRzlo	Vmp-sm	izmrzlti
.	Z	.

izmRzlo	Npmsn	izmRzlo
ni	Qo	ni
lOjze	Npmsn	Lojze
bIlo	Vmp-sn	biti
ma	Pisg	ma
((?))	X	((?))
/	Z	/
na	Sl	na
špalIri	Ncfsl	špalira
.	Z	.

izmRzlo	Agpmsnn	izmrzlo
svE	Pi-nsn	sav
.	Z	.

pa	Cc	pa
sAmo	Rgp	samo
što	Pi3n	što
je	Var3s	biti
puštIlo	Vmpn	puštIlo
iz	Sg	iz
glAvu	Ncfsa	glava
onO	Pd-nsn	onaj
•	X	•
nEgde	Rgp	negde
nEgde	Rgp	negde
mAlo	Rgp	malo
grozdA	Ncmsg	grozd
.	Z	.

#preje#	Sg	#preje#
dve	Mlcf	dva
gOdine	Ncfsg	godina
smo	Var1p	biti
nabrAli	Vmpm	nabrati
trI	Mlc	tri
tone	Ncfsg	tona
.	Z	.

u	Sa	u
vinOgrad	Ncmsan	vinograd
a	Cc	a
sEg	Npmsn	sEg
••	X	••
kOlko	Pq-nsn	koliki
smo	Var1p	biti
nabrAli	Vmp-pm	nabrati
•	X	•
dve	Mlcf	dva
kAnte	Ncfsg	kanta
ovE	Pdsg	ovaj
.	Z	.

((XXX))	X	((xxx))
tOlko	Rgp	toliko
dve	Mlcf	dva
kAnte	Ncfsg	kanta
smo	Var1p	biti
nabrAli	Vmp-pm	nabrati
grOjze	Vmp-pm	grojti
.	Z	.

de	I	de
brE	I	bre
poslužEte	Px--sa	poslužEte
s	Si	sa
tOj	Pd-nsn	taj
nemo	Rgp	nemo
.	Z	.

((?))	X	((?))
el	Qq	jel
Oče	Var3s	hteti
da	Cs	da
vIdite	Vmr2p	videti
mOje	Sa	mOje
unUke	Ncfpa	unuka
mOje	Appfpay	moti
praunUke	Ncfpa	praunuka
.	Z	.

poglE	Qr	poglE
kakO	Cs	kako
je	Var3s	biti
zlAtna	Agpfsny	zlatan
mOja	Ps1fsn	moj
praunUka	Ncfsn	praunuka
.	Z	.

gOre	Rgp	gore
na	Sa	na
kalendAr	Ncmsan	kalendar
.	Z	.

njEna	Ps3fsn	njen
mAjka	Ncfsn	majka
medecInska	Agpfsny	medecinski
sEstra	Ncfsn	sestra
.	Z	.

bEba	Ncfsn	beba
Ona	Pp3fsn	on
vEč	Rgp	već
Ima	Vmr3s	imati
šEs	Mlc	šest
gOdine	Ncfpn	godina
.	Z	.

e	I	e
((?))	X	((?))
•	X	•
nEma	Vmr3s	imati
svAki	Pisn	svaki
takvU	Pdsa	takav
dEcu	Ncnpa	dete
kAo	Cs	kao
što	Cs	što
jA	Pp1-sn	ja
Imam	Vmr1s	imati
.	Z	.

unUk	Ncmsn	unuk
mi	Pp1-sd	ja
••	X	••
svirAč	Ncmsn	svirač
.	Z	.

evO	I	evo
ga	Pp3msa	on
Igor	Npmsn	Igor
•	X	•
On	Pp3msn	on
je	Var3s	biti
svirAč	Ncmsn	svirač
•	X	•
u	Sa	u
knjAževac	Npmsan	knjaževac
.	Z	.

Id	Npmsn	Id
i	Cc	i
po	Sa	po
drUge	Mlofsg	drugi
držAve	Ncfpa	država
čI	Agpmsgy	či
u	Sl	u
kInu	Ncnsl	kino
Išli	Vmp-pm	ići
.	Z	.

Idu	Vmr3p	ići
u	Sa	u
bEč	Npmsan	Beč
Idu	Vmr3p	ići
u	Sa	u
rumUniju	Npfsa	Rumunija
.	Z	.

a	Cc	a
tO	Pd-nsn	taj
je	Var3s	biti
njegOva	Ps3fsn	njegov
••	X	••
ženA	Ncfsn	žena
mu	Pp3msd	on
čEtri	Mlc	četiri
gOdine	Ncfpn	godina
.	Z	.

Imaju	Vmr3p	imati
•	X	•
ovOj	Pd-nsn	ovaj
devOjče	Ncnsn	devojče
čEtri	Mlc	četiri
gOdine	Ncfpn	godina
a	Cc	a
sƏg	Rgp	sad
imajU	Vmr3p	imati
Osmi	Mlomsn	osmi
mEsec	Npmsn	Mesec
mUško	Npmsn	mUško
••	X	••
detEnce	Ncnsn	detence
.	Z	.

evE	I	evo
ovOj	Pd-nsn	ovaj
pRvo	Rgp	prvo
na	Sa	na
krAJ	Ncmsan	kraj
tOj	Pd-nsn	taj
mi	Pp1-sd	ja
snAjka	Ncfsn	snajka
ovOj	Pd-nsn	ovaj
mi	Pp1-sd	ja
sIn	Ncmsn	sin
.	Z	.

a	Cc	a
ovOj	Pd-nsn	ovaj
mi	Pp1-sd	ja
unUk	Ncmsn	unuk
•	X	•
tAj	Pd-msn	taj
što	Cs	što
bIl	Vcp-sm	biti
u	Sa	u
bEograd	Npmsan	Beograd
.	Z	.

a	Cc	a
ovOj	Pd-nsn	ovaj
mi	Pp1-sd	ja
unUk	Ncmsn	unuk
ovAj	Pd-msn	ovaj
što	Cs	što
((?))	X	((?))
.	Z	.

((?))	X	((?))
marIja	Npfsn	Marija
i	Cc	i
((?))	X	((?))
.	Z	.

Igor	Npmsn	Igor
ovO	Pd-nsn	ovaj
je	Var3s	biti
slavIša	Npmsn	slavIša
ovO	Pd-nsn	ovaj
je	Var3s	biti
dAnko	Npmsn	dAnko
.	Z	.

Ovo	Pdsn	ovaj
je	Var3s	biti
drAgana	Ncfsn	dragana
mArija	Npfsn	Marija
sve	Pi-nsn	sav
•	X	•
tOj	Pd-nsn	taj
mOj	Ps1msn	moj
.	Z	.

a	Cc	a
ovOj	Pd-nsn	ovaj
mOja	Ps1fsn	moj
mAja	Ncmsg	maj
sas	Si	sa
njOinu	Npmsl	njOin
ćErku	Ncfsa	ćerka
.	Z	.

onA	Pp3fsn	on
rAdi	Vmr3s	raditi
u	Sa	u
sUd	Ncmsan	sud
gOre	Rgp	gore
u	Sa	u
knjAževac	Npmsan	knjaževac
••	X	••
daktilogrAf	Ncmsn	daktilograf
.	Z	.

evE	I	evo
kad	Cs	kad
bilA	Vcp-sf	biti
mAla	Ncfsn	mala
onA	Pp3fsn	on
•	X	•
mAja	Npmsg	maj
.	Z	.

njEn	Ps3msn	njen
mUž	Ncmsn	muž
Ide	Vmr3s	ići
u	Sa	u
Ameriku	Npfsa	Amerika
.	Z	.

pa	Cc	pa
((?))	X	((?))
sƏk	Rgp	sad
če	Var3s	hteti
da	Cs	da
dOjde	Vmr3s	doći
petnAjstog	Mdo	petnajstog
oktObra	Ncmsg	oktobar
če	Var3s	hteti
da	Cs	da
#doǵe#	Qr	#doǵe#
.	Z	.

kəkvA	Npfsn	kəkvA
je	Var3s	biti
mOja	Ps1fsn	moj
vragolAnka	Ncfsn	vragolanka
glEdaj	Vmm2s	gledati
sAmo	Rgp	samo
.	Z	.

kəkvA	Npfsn	kəkvA
je	Var3s	biti
.	Z	.

a	Cc	a
Ona	Pp3fsn	on
sAd	Rgp	sad
porAsla	Vmp-sf	porasti
pa	Cc	pa
((?))	X	((?))
•	X	•
kad	Cs	kad
dOjde	Vmr3s	doći
kod	Sg	kod
mEne	Pp1-sg	ja
.	Z	.

onA	Pp3fsn	on
•	X	•
prIča	Vmr3s	pričati
kao	Cs	kao
medenIčka	Ncfsn	medenička
.	Z	.

nE	Qz	ne
znam	Vmr1s	znati
čEmu	Cs	čEmu
smo	Var1p	biti
stAli	Vmp-pm	stati
sAk	Rgp	sad
.	Z	.

mOžda	Rgp	možda
su	Var3p	biti
praIle	Ncfpn	praila
.	Z	.

((laugh))	X	((laugh))
imAlo	Vmp-sn	imati
si	Px--sd	sebe
onO	Pd-nsn	onaj
tƏk	Rgp	tako
pUno	Rgp	puno
i	Cc	i
mOmci	Ncmpn	momak
i	Cc	i
devOjke	Ncfpn	devojka
pa	Cc	pa
si	Px--sd	sebe
za	Sa	za
svAko	Pi3m-n	svatko
si	Px--sd	sebe
Ima	Vmr3s	imati
.	Z	.

ah	I	ah
sto	Ncmsn	stol
bi	Vaa3s	biti
se	Pxsa	sebe
rEklo	Vmpn	reći
gRne	Var3s	gRne
zaklapALo	Vmp-sn	zaklapati
nAjde	Vmr3s	naći
.	Z	.

moždA	Rgp	možda
je	Var3s	biti
nekA	Qo	neka
nEšto	Pi3n-a	nešto
praIla	Agpnsny	praian
•	X	•
a	Cc	a
((?))	X	((?))
.	Z	.

jA	Pp1-sn	ja
nesAm	Var1s	biti
praIla	Vmp-sf	praiti
nIkome	Pi3m	nitko
nIšta	Pi3n-a	ništa
.	Z	.

((?))	X	((?))
sAmo	Rgp	samo
Oču	Vmr1s	hteti
da	Cs	da
ti	Pp2-sd	ti
kAžem	Vmr1s	kazati
dobrOta	Ncfsn	dobrota
pobEǵuje	Npfsg	pobEǵuja
.	Z	.

kO	Pi3m-n	ko
e	Var3s	biti
dObar	Agpmsnn	dobar
njEga	Pp3msa	on
svAki	Pisn	svaki
vOli	Vmr3s	voliti
.	Z	.

ne	Qz	ne
mOra	Vmr3s	morati
da	Cs	da
bUde	Var3s	biti
lEp	Agpmsnn	lep
••	X	••
al	Cc	ali
da	Cs	da
bUde	Var3s	biti
dObar	Agpmsnn	dobar
.	Z	.

a	Cc	a
dobrOta	Ncfsn	dobrota
mOra	Vmr3s	morati
da	Cs	da
pobEdi	Vmr3s	pobediti
.	Z	.

a	Cc	a
Ima	Vmr3s	imati
kojE	Pipn	koji
su	Var3p	biti
lEpe	Agpfpny	lep
pa	Cc	pa
se	Px--sa	sebe
doterUje	Vmr3s	doterivati
.	Z	.

mEne	Ncfpn	mena
sAmo	Rgp	samo
na/	X	na/
na	Sa	na
svAdbu	Ncfsa	svadba
me	Pp1-sa	ja
nacrvenIla	Vmp-sf	nacrveniti
tAj	Pd-fsn	taj
što	Cs	što
me	Pp1-sa	ja
spremAla	Vmp-sf	spremati
